adminDistrict,adminDistrict2,formattedAddress,locality,postalCode,lat,lng
Galicia,Coruña,15004,Galicia,España,Provincia de A Coruña,15004,43.3656044006348,-8.40896606445312,41-50,Mujer,Universitarios,Casado
Comunidad de Madrid,Madrid,28521,Comunidad de Madrid,España,Vaciamadrid,28521,40.3421401977539,-3.50360703468323,41-50,Mujer,Universitarios,Divorciado
Galicia,Coruña,15008,Galicia,España,Provincia de A Coruña,15008,43.3305702209473,-8.41056346893311,41-50,Mujer,Universitarios,Soltero
Comunidad de Madrid,Madrid,28050,Comunidad de Madrid,España,Madrid,28050,40.5017395019531,-3.66247010231018,41-50,Mujer,Universitarios,Casado
Galicia,Coruña,15174,Galicia,España,Culleredo,15174,43.3105659484863,-8.39894866943359,41-50,Mujer,Universitarios,Casado
Comunidad de Madrid,Madrid,28005,Comunidad de Madrid,España,Madrid,28005,40.4057235717773,-3.71297788619995,31-40,Mujer,Doctorado/Máster,Casado
Comunidad de Madrid,Madrid,28026,Comunidad de Madrid,España,Madrid,28026,40.3834915161133,-3.7041609287262,31-40,Mujer,Universitarios,Soltero
Comunidad de Madrid,Madrid,28026,Comunidad de Madrid,España,Madrid,28026,40.3834915161133,-3.7041609287262,31-40,Hombre,Universitarios,Soltero
Galicia,Coruña,15010,Galicia,España,Provincia de A Coruña,15010,43.3662490844727,-8.44391441345215,31-40,Mujer,Universitarios,Casado
Comunidad de Madrid,Madrid,28521,Comunidad de Madrid,España,Vaciamadrid,28521,40.3421401977539,-3.50360703468323,41-50,Mujer,Formación profesional/Bachillerato,Casado
Comunidad de Madrid,Madrid,28660,Comunidad de Madrid,España,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796,41-50,Mujer,Universitarios,Casado
Comunidad de Madrid,Madrid,28905,Comunidad de Madrid,España,Getafe,28905,40.2953186035156,-3.74893999099731,31-40,Mujer,Universitarios,Soltero
Galicia,Coruña,15316,Galicia,España,Coirós,15316,43.2462348937988,-8.14732074737549,41-50,Mujer,Universitarios,Casado
Comunidad de Madrid,Madrid,28055,Comunidad de Madrid,España,Madrid,28055,40.491886138916,-3.62057995796204,31-40,Mujer,Universitarios,Casado
Comunidad de Madrid,Madrid,28660,Comunidad de Madrid,España,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796,31-40,Mujer,Universitarios,Casado
Comunidad de Madrid,Madrid,28906,Comunidad de Madrid,España,Getafe,28906,40.2917900085449,-3.69343495368958,31-40,Hombre,Doctorado/Máster,Casado
Comunidad de Madrid,Madrid,28030,Comunidad de Madrid,España,Madrid,28030,40.4029922485352,-3.63892197608948,31-40,Hombre,Universitarios,Casado
Castilla and Leon,León,24883,Castilla and Leon,España,Caminayo,24883,42.8757667541504,-4.91912317276001,31-40,Hombre,Universitarios,Casado
Comunidad de Madrid,Madrid,28015,Comunidad de Madrid,España,Madrid,28015,40.4312515258789,-3.71114492416382,20-30,Mujer,Doctorado/Máster,Casado
Comunidad de Madrid,Madrid,28660,Comunidad de Madrid,España,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796,31-40,Hombre,Doctorado/Máster,Casado
Comunidad de Madrid,Madrid,28943,Comunidad de Madrid,España,Fuenlabrada,28943,40.2825546264648,-3.80556511878967,31-40,Mujer,Universitarios,Casado
Comunidad de Madrid,Madrid,28050,Comunidad de Madrid,España,Madrid,28050,40.5017395019531,-3.66247010231018,41-50,Hombre,Universitarios,Casado
Galicia,Coruña,15173,Galicia,España,Oleiros,15173,43.3366355895996,-8.31683158874512,41-50,Mujer,Doctorado/Máster,Casado
Comunidad de Madrid,Madrid,28026,Comunidad de Madrid,España,Madrid,28026,40.3834915161133,-3.7041609287262,31-40,Mujer,Doctorado/Máster,Casado
Comunidad de Madrid,Madrid,28053,Comunidad de Madrid,España,Madrid,28053,40.3672790527344,-3.66584992408752,41-50,Mujer,Universitarios,Casado
Galicia,Coruña,15660,Galicia,España,Cambre,15660,43.2972946166992,-8.34405040740967,41-50,Mujer,Universitarios,Casado
