adminDistrict,lat,lng
Comunidad de Madrid,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796
Comunidad de Madrid,Madrid,28018,40.3844909667969,-3.65204906463623
Comunidad de Madrid,Madrid,28045,40.3934669494629,-3.68791508674622
Comunidad de Madrid,Madrid,28051,40.3455657958984,-3.61624503135681
Comunidad de Madrid,Madrid,28003,40.4429893493652,-3.70595002174377
Comunidad de Madrid,Madrid,28039,40.4576263427734,-3.70802998542786
Comunidad de Madrid,Madrid,28018,40.3844909667969,-3.65204906463623
Comunidad de Madrid,Madrid,28039,40.4576263427734,-3.70802998542786
Comunidad de Madrid,Madrid,28016,40.4603805541992,-3.6743950843811
Andalucía,Sevilla,41012,37.3424491882324,-5.98244476318359
Comunidad de Madrid,Madrid,28036,40.468635559082,-3.68021488189697
Galicia,Provincia de A Coruña,15004,43.3656044006348,-8.40896606445312
Comunidad de Madrid,Madrid,28053,40.3672790527344,-3.66584992408752
Andalucía,Sevilla,41010,37.3815307617188,-6.00859022140503
Comunidad de Madrid,Madrid,28053,40.3672790527344,-3.66584992408752
Comunidad de Madrid,Madrid,28038,40.3949241638184,-3.65251803398132
Andalucía,Sevilla,41010,37.3815307617188,-6.00859022140503
Comunidad de Madrid,Madrid,28036,40.468635559082,-3.68021488189697
Comunidad de Madrid,Madrid,28028,40.4311828613281,-3.66809511184692
Galicia,Temple,15679,43.3165321350098,-8.35702991485596
Comunidad de Madrid,Majadahonda,28221,40.4650611877441,-3.85030889511108
Comunidad de Madrid,Madrid,28050,40.5017395019531,-3.66247010231018
Comunidad de Madrid,Madrid,28007,40.4079093933105,-3.67190289497375
Comunidad de Madrid,Santorcaz,28818,40.469425201416,-3.25701093673706
Comunidad de Madrid,Madrid,28038,40.3949241638184,-3.65251803398132
Comunidad de Madrid,Torrejón de Ardoz,28850,40.4532318115234,-3.46486306190491
Galicia,Provincia de A Coruña,15004,43.3656044006348,-8.40896606445312
Comunidad de Madrid,Madrid,28053,40.3672790527344,-3.66584992408752
Comunidad de Madrid,Pinto,28320,40.245906829834,-3.68646311759949
Comunidad de Madrid,Vaciamadrid,28521,40.3421401977539,-3.50360703468323
Comunidad de Madrid,Madrid,28018,40.3844909667969,-3.65204906463623
Comunidad de Madrid,Alcalá de Henares,28806,40.5068168640137,-3.39414596557617
Comunidad de Madrid,Madrid,28018,40.3844909667969,-3.65204906463623
Andalucía,Sevilla,41010,37.3815307617188,-6.00859022140503
Comunidad de Madrid,Madrid,28020,40.4546432495117,-3.69713807106018
Galicia,Provincia de A Coruña,15011,43.3711128234863,-8.42138481140137
Comunidad de Madrid,Madrid,28017,40.4259948730469,-3.64487099647522
Comunidad de Madrid,Madrid,28028,40.4311828613281,-3.66809511184692
Comunidad de Madrid,Madrid,28015,40.4312515258789,-3.71114492416382
Comunidad de Madrid,Madrid,28053,40.3672790527344,-3.66584992408752
Comunidad de Madrid,Madrid,28031,40.3786392211914,-3.58675098419189
Castilla La Mancha,Ciudad Real,13005,38.9616165161133,-3.97113394737244
Comunidad de Madrid,Madrid,28018,40.3844909667969,-3.65204906463623
Galicia,Provincia de A Coruña,15008,43.3305702209473,-8.41056346893311
Comunidad de Madrid,Madrid,28050,40.5017395019531,-3.66247010231018
Castilla La Mancha,Talavera de la Reina,45600,39.9709587097168,-4.81943416595459
Comunidad de Madrid,Madrid,28012,40.4089851379395,-3.69856595993042
Comunidad de Madrid,Alcalá de Henares,28806,40.5068168640137,-3.39414596557617
Extremadura,Badajoz,06011,38.8050003051758,-7.07532691955566
Andalucía,Sevilla,41003,37.3939361572266,-5.98629713058472
Comunidad de Madrid,Madrid,28031,40.3786392211914,-3.58675098419189
Comunidad de Madrid,Madrid,28018,40.3844909667969,-3.65204906463623
Comunidad de Madrid,Madrid,28053,40.3672790527344,-3.66584992408752
Comunidad de Madrid,Madrid,28032,40.4107513427734,-3.60250091552734
Comunidad de Madrid,Madrid,28018,40.3844909667969,-3.65204906463623
Galicia,Provincia de A Coruña,15004,43.3656044006348,-8.40896606445312
Comunidad de Madrid,Madrid,28028,40.4311828613281,-3.66809511184692
Galicia,Provincia de A Coruña,15008,43.3305702209473,-8.41056346893311
Comunidad de Madrid,Madrid,28053,40.3672790527344,-3.66584992408752
Comunidad de Madrid,Alcobendas,28100,40.5626831054688,-3.67296099662781
Comunidad de Madrid,Madrid,28053,40.3672790527344,-3.66584992408752
Galicia,Provincia de A Coruña,15008,43.3305702209473,-8.41056346893311
Comunidad de Madrid,Alcalá de Henares,28806,40.5068168640137,-3.39414596557617
